name,abn,total_income,taxable_income,tax_payable,income_year,postcode
AECI AUSTRALIA PTY LTD,33165704870,113962907,6935663.0,2080699.0,2021-22,4000
AERIS RESOURCES LIMITED,30147131977,387010833,,,2021-22,4000
AERISON GROUP LIMITED,77614735474,175876829,,,2021-22,6000
AFGRI AUSTRALIA PTY LTD,14103619067,461357930,27193992.0,8157394.0,2021-22,6055
AFTERPAY LIMITED,30618280649,341366795,,,2021-22,3000
AG N VET MANAGEMENT SERVICES PTY LIMITED,91087675465,699781973,60199344.0,17433182.0,2021-22,2871
AGCO AUSTRALIA LIMITED,89004092684,355464012,20949835.0,4919950.0,2021-22,3020
AGGREKO GENERATOR RENTALS PTY. LIMITED,66001991457,146675090,17194497.0,5158349.0,2021-22,3195
AGILENT TECHNOLOGIES AUSTRALIA PTY LTD,29088510605,140943000,29639418.0,1397589.0,2021-22,3170
AGL ENERGY LIMITED,74115061375,15461918085,,,2021-22,2000
AGL GENERATION HOLDCO PTY LIMITED,46155768291,1406847340,176325365.0,52090951.0,2021-22,2000
AGRI-BEST GROUP PTY LTD,19103565635,144527066,5638945.0,1691684.0,2021-22,6011
AGRICULTURAL BANK OF CHINA LIMITED,48848300367,248107818,40017859.0,11997015.0,2021-22,2000
AGRIUM SP HOLDINGS PTY LIMITED,58146674400,4298024617,335547590.0,88372032.0,2021-22,3008
AGS GROUP HOLDINGS PTY LIMITED,42151808598,254807907,36923139.0,11076942.0,2021-22,2036
AGTRADE INTERNATIONAL PTY LTD,87139280461,641152907,67081078.0,19793206.0,2021-22,4000
AHRENS GROUP PTY LTD,76114260230,321488836,32151546.0,9581708.0,2021-22,5371
AI SKY AUS HOLDCO PTY LIMITED,67636519143,115411144,,,2021-22,3000
AIA AUSTRALIA LIMITED,79004837861,6304648184,275751562.0,48418931.0,2021-22,3004
AIG AUSTRALIA LIMITED,93004727753,2072556145,139733733.0,40983908.0,2021-22,3008
AIOI NISSAY DOWA INSURANCE COMPANY AUSTRALIA PTY LTD,11132524282,244149430,10283279.0,3084984.0,2021-22,3004
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,354117073,22095712.0,6222019.0,2021-22,3004
AIRBUS AUSTRALIA PACIFIC HOLDINGS PTY LIMITED,75003066788,530545392,48854735.0,14656420.0,2021-22,4008
AIRPORT MOTOR GROUP PTY LTD,61113244492,147964459,5575853.0,1672756.0,2021-22,3041
AIRPORT MOTORWAY HOLDINGS PTY LTD,55078322531,126440549,63463517.0,19039055.0,2021-22,2000
AIRSERVICES AUSTRALIA,59698720886,578456915,,,2021-22,2601
AJ & PA MCBRIDE LIMITED,61007870804,102197788,7362353.0,1827462.0,2021-22,5000
AJ LUCAS GROUP LIMITED,12060309104,123396157,,,2021-22,2060
AKAMAI TECHNOLOGIES NETHERLANDS BV,52115435955,122118357,3591996.0,1077599.0,2021-22,2000
AKUNA CAPITAL AUSTRALIA PTY LTD,71622473750,236520038,72030907.0,21459334.0,2021-22,2000
AKZO NOBEL COATINGS (HOLDINGS) PTY LTD,51000285012,264910020,9053114.0,2715934.0,2021-22,2164
AL AQUA ZIP HOLDCO PTY LTD,92620030846,117075089,,,2021-22,2000
ALBERT AUTOMOTIVE HOLDINGS PTY LTD,15616126722,1115563583,,,2021-22,3121
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33096987370,371945459,527825297.0,,2021-22,6154
ALCOA OF AUSTRALIA LTD,93004879298,4729559179,1040209165.0,309038636.0,2021-22,6154
ALCON LABORATORIES (AUSTRALIA) PTY LTD,88000740830,287369406,16265506.0,4879652.0,2021-22,2113
ALDI FOODS PTY LIMITED,18086210139,10171257680,499504922.0,149851477.0,2021-22,2770
ALERE HOLDINGS PTY LIMITED,88128023058,135918088,4034583.0,1210375.0,2021-22,4169
ALEXION PHARMACEUTICALS AUST PL,59132343036,111658337,5170186.0,1551056.0,2021-22,2113
ALIGN TECHNOLOGY (AUSTRALIA) PTY LTD,62163076971,110435074,5769970.0,1730991.0,2021-22,2065
ALIMFRESH PTY LIMITED,78002831843,295677189,16537270.0,571077.0,2021-22,2770
ALKANE RESOURCES LIMITED,35000689216,214850781,9240332.0,701127.0,2021-22,6005
AL-KO INTERNATIONAL PTY LTD,96003066813,118062092,12711795.0,3813538.0,2021-22,3175
ALLEGION (AUSTRALIA) PTY LTD,49077898161,115309756,5881916.0,1764575.0,2021-22,3130
ALLEGIS GROUP APAC HOLDINGS PTY LTD,84159406523,154074320,,,2021-22,2060
ALLEGRO PTY LTD,55008833494,205548119,2036070.0,610821.0,2021-22,6160
ALLERGAN AUSTRALIA PTY LIMITED,85000612831,256107772,9198086.0,2759426.0,2021-22,2060
ALLERMUIR HOLDINGS PTY LTD,29104800482,403865107,31416239.0,9409464.0,2021-22,2000
ALLIANCE AVIATION SERVICES LIMITED,96153361525,404041667,,,2021-22,4008
ALLIANZ AUSTRALIA LIMITED,21000006226,5503113296,743078188.0,222433332.0,2021-22,2000
ALLIED EXPRESS TRANSPORT PTY LIMITED,20001787962,213432835,24621015.0,7386304.0,2021-22,2200
ALLIED WORLD ASSURANCE COMPANY LTD,54163304907,130536032,310740.0,,2021-22,2000
ALLKEM LIMITED,31112589910,602289934,231999437.0,69588561.0,2021-22,4000
